匙叶草(红客妈叶、红虾蟆叶),,,,,,,,,
红榔木(大树皮、棉榔树),,,,,,,,,
马蹬草(过桥草、还阳草、小石韦),,,,,,,,,
狮子七(红景天、土三七),,,,,,,,,
杭白菊花(甘菊),,,,,,,,,
独一味(巴拉努努、吉布孜、麦朵昌巴、哈努巴拉、札江温保、哈吾巴拉、达干木、达折合巴、野秦艽、大巴、打布巴),,,,,,,,,
藏红花(撒法即,番红花,西红花),,,,,,,
百部还魂(还魂草(《广西中药志》)，狗笠耳(《广西药植名录》)。),,,,,,,,,
白背三七茎叶,,,,,,,,,
白牛膝(太极草、狗夺子、狗京蔓、土牛膝、藤牛膝、短瓣石竹),,,,,,,,,
青刺尖(炮筒果、牛奶捶、鸡蛋糕、梅花刺、枪子果、打枪果、阿那斯),,,,,,,,,
金线草根(海根(《本草拾遗》)，铁棱角三七、铁箍散(《浙江天日山药植志》)，蓼子七(《四川常用中草药》)，土三七、铁拳头(江西《草药手册》)。),,,,,,,,,
排钱草根,,,,,,,,,
茅膏菜(石龙芽草(《植物名实图考》)，山胡椒(《分类草药性》)，胡椒草(《四川中药志》)，夏无踪、白花叶(《湖南药物志》)，黄金丝、滴水不干(《江苏药材志》)。山地皮(《贵州草药》)，捕虫草、食虫草、柔鱼草(《福建中草药》)，苍蝇草，捕蝇草、苍蝇网、珍珠草、野高梁(《云南中草药》)。),,,,,,,,,
野牡丹根(王不留、痢疾罐),,,,,,,,,
鸡血七(红孩儿、红血儿(《陕西中草药》)，鸡心七、荞麦七(陕西《中草药研究资料》)，蜈蚣七、倒生莲(《陕甘宁青中草药选》)。),,,,,,,,,
线叶蓟(野红花、山红花(《浙江民间常用草药》)。),,,,,,,,,
对叶草(牛心朴、牛心秧、瓢柴、侧花徐长卿。),,,,,,,,,
绵枣儿(石枣儿(《救荒本草》)，天蒜(《生草药性备要》)，地兰(《岭南采药录》)，山大蒜(《江苏植药志》)，鲜白头(《江苏药材志》)，地枣、独叶芹、催生草、药狗蒜(《东北药植志》)，老鸦葱(《浙江中药资源名录》)，独叶一枝枪(苏医《中草药手册》)。),,,,,,,,,
蜘蛛抱蛋(一叶(《琉球国志略》)，一帆青(《质问本草》)，飞天蜈蚣、哈萨喇(《植物名实图考》)，竹叶伸筋(《衡山民间草药》)，大九龙盘、竹叶盘、九龙盘(《贵州民间药物》)，赶山鞭、蓼叶伸筋、大伸筋、摇边竹、龙骨草、铁马鞭、甘心蜈蚣、竹根七、地蜈蚣，九节龙、蜈蚣草、一寸十八节(《湖南药物志》)，土里蜈蚣、狸角叶、单枝白叶(《福建中草药》)。),,,,,,,,,
红芋(红半夏、红岩芋。),,,,,,,,,
大驳骨(大还魂(《广州植物志》)，龙头草(《广西药植名录》)，大驳骨消、大驳骨丹、大骨风、接骨木、大骨碎、大骨节草、大接骨(《广西中草药》)。),,,,,,,,,
大绿藤(痧症药。),,,,,,,,,
大浮萍(大薸(《纲目》)，猪姆莲(《岭南采药录》)，水浮萍(《南宁市药物志》)，大浦藻(《岭南草药志》)，浮萍(《广西药植名录》)。),,,,,,,,,
倒生根(乌泡倒触伞、两头草、乌龙毛(《重庆草药》)，过江龙(《陕西中草药》)。),,,,,,,,,
榕树叶(小格叶(《生草药性备要》)，落地金钱(《本草求原》)。),,,,,,,,,
牛嗓管树(撒罗夷、马耳子果、蜜心果、鼻涕果、粘心果(《云南中草药选》)，野枇杷、大叶杜仲(《红河中草药》)。),,,,,,,,,
鱼藤(毒鱼藤(李承祜《生药学》)，篓藤(《南方主要有毒植物》)。),,,,,,,,,
青娘子(芫蜻(《雷公炮炙论》)，芫青(《别录》)，青娘虫、相思虫(《苏州本产药材》)，青虫(《中药志》)。),,,,,,,,,
青竹标(密腺崖角藤、水蜈蚣(《广西药植名录》)，爬树龙、金竹标(《云南中草药选》)，大软筋藤、九龙上调(《贵州药植目录》)。),,,,,,,,,
南瓜七(马蹄当归、八角乌。),,,,,,,,,
龙船花根(红缨花树根(《广东中医》4(9)：378，1959)。),,,,,,,,,
蝙蝠葛(蝙蝠藤(《澹寮试效方》)，金丝钓葫芦(《国药的药理学》)，黄条香、防己葛、黄根(《中国药植志》)，野鸡豆子(《吉林中药手册》)，爬山秧子、山地瓜秧(《东北药植志》)，小葛香、杨柳子棵(《山东中药》)，光光喳、狗葡萄秧(《辽宁经济植物志》)，小青藤、黄藤根、黄根藤、大叶马兜铃(《浙江民间常用草药》)，狗屎豆(《吉林中草药》)，马串铃(《陕西中草药》)，金线吊蛤蟆、什子苗(江西《草药手册》)，宁巴(蒙名)，嘎马得见农棍(朝名)。),,,,,,,,,
水茄(万桃花、金钮头、山烟草、金衫扣、白花钮仔茄),,,,,,,,,
紫云英子(蒺藜子(《贵州民间药物》)，草蒺藜(苏医《中草药手册》)。),,,,,,,,,
鸡血李(红李、秋根李、鸡血李),,,,,,,,,
龙船花(卖子木(《唐本草》)，红绣球、山丹(《学圃杂疏》)，五月花(《生草药性备要》)，映山红(《本草求原》)，牛兰、珠桐、番海棠(《岭南采药录》)，大将军(《广西中药志》)，红樱花(广州部队《常用中草药手册》)。),,,,,,,,,
鞭打绣球(红顶珠(《贵州草药》)，地草果、红豆草、头顶一颗珠、地胡椒(《云南中草药》)，连钱草(《西藏常用中草药》)，地红参、活血丹、四季草、小铜锤、金线草、月月换叶(《云南中草药选》)，区茹程丹(藏名)。),,,,,,,,,
鸭嘴癀(调经草(《福建中草药》)，田蛭草、鱼尾草(《广西药植名录》)。),,,,,,,,,
芦子藤(叶子兰、芦子兰(《云南中草药》)，苧叶蒌、野胡椒(《广西药植名录》)，大麻疙瘩(《云南思茅中草药选》)。),,,,,,,,,
地锦(地噤(《本草拾遗》)，常春藤(《植物名实图考》)，爬墙虎、红葡萄藤、红葛(《中国树木分类学》)，爬山虎(《苏南种子植物》)，大风藤、过风藤(《江西中药》)，三角枫藤、蝙蝠藤、爬岩虎、野枫藤、日光子、枫藤、爬龙藤、野葡萄、腹水藤、三叶茄(《浙江民间常用草药》)，风藤(《江西草药》)，石壁藤(苏医《中草药手册》)。),,,,,,,,,
锈钉子(山黄豆、大红袍、大和红(《昆明民间常用草药》)，硬毛杭子梢、山皮条、地油根、白蓝地花(《云南中草药》)。),,,,,,,,,
天韭(天蒜、鹿耳韭。),,,,,,,,,
走茎丹参(乌痧草(《广西药植名录》)。),,,,,,,,,
鲛鱼(蜡鱼、瑰雷鱼(《南越志》)，沙鱼、鳆鱼(《本草拾遗》)，溜鱼(《纲目》)，鲛鲨(《医林纂要》)。),,,,,,,,,
落花生枝叶(花生茎叶),,,,,,,,,
草灵脂(岩兔屎、岩鼠粪(《四川中药志》)。),,,,,,,,,
蜀葵花(侧金盏(《尔雅翼》)，棋盘花(《分类草药性》)，蜀其花(《本草推陈》)，水芙蓉(《湖南药物志》)，栽秧花(《贵州草药》)，镲钹花、擀杖花(《陕西中草药》)。),,,,,,,,,
树萝卜(石萝卜、叶上花。),,,,,,,,,
珍珠梅(山高梁、八木条(《东北常用中草药手册》)，珍珠杆、花儿杆(《宁夏中草药手册》)。),,,,,,,,,
及已(獐耳细辛(《纲目》)，四叶细辛(《植物名实图考》)，牛细辛、老君须(《湖南药物志》)。),,,,,,,,,
虾子草(红虾子草(《四川中药志》)。),,,,,,,,,
大二郎箭(虾子草(《民间常用草药汇编》)，过江藤(《四川中药志》)，铜锤草(成都《常用草药治疗手册》)。),,,,,,,,,
寄生藤(藤香、入地寄生、熊胆藤、左扭香(《广西药植名录》)，列子、藤酸公、青藤公(《常用中草药彩色图谱》)。),,,,,,,,,
止血丹,,,,,,,,,
姜三七(三七姜、姜叶三七、土田七、竹叶三七、姜七),,,,,,,,,
